instagram_account,username,comment
https://www.instagram.com/sybila4239,sybila4239,"Jangan lama2 pak, gak sabar liat bapak, jadi presiden.pak prabowo sehat2 ya pak"
https://www.instagram.com/2person_30,2person_30,"alhamdulillah pak prabowo ????, insya allah dengan terpilih nya pak prabowo indonesia makin aman ??"
https://www.instagram.com/ersita_megaa,ersita_megaa,Bapakkk selamat yaa 
https://www.instagram.com/cannberryy,cannberryy,Selamat Pak Prabowo
https://www.instagram.com/supriabdullah97,supriabdullah97,Mari di bulan Puasa ini berdoa semoga Pemimpin Bangsa ini mewujudkan Janji Janjinya Klopun tidak dijalankan semoga Allah mengantikan Pemimpin yang mampu menjalankan amanah yang diembankan 200 juta lebih penduduk Indonesia.
https://www.instagram.com/dhuriahtersono,dhuriahtersono,"Alhamdulillah semoga lancar semuanya, semoga bapak Presiden probowo gibran menjadi presiden yg amanah. . . . Presiden pilihan rakyat Indonesia. . . . Aamiin ya rabbal Alamin"
https://www.instagram.com/titisuryati3,titisuryati3,Semoga Indonesia semakin maju ke depan di bawah ke pemimpinan Prabowo Gibran
https://www.instagram.com/bandoengahmad,bandoengahmad,Prabowo nampak kalem tenang sekarang berwibawa ada karisma kepemimpinan ..sehat2 ya pa saya sangat menaruh harapan sm bp untk melanjutkan pembangunan negri ini menjadi lembih maju lagi ...aamiin yra
https://www.instagram.com/nurbaits.508,nurbaits.508,"Sehat terus pak, semangat terus"
https://www.instagram.com/nafsegalanya,nafsegalanya,"Masyaallah tabarakallah , Alhamdulilah ...ga sabar lihat BPK PRABOWO di lantik ? sehat terus ya pak... ??"
https://www.instagram.com/_wimallaaa_,_wimallaaa_,Gak sabar pak. Semoga diberi kesehatan ya pak aamiin yal allah??????
https://www.instagram.com/moehsenj_,moehsenj_,Ini wakil benaran apa wakil becanda... Trnyata buah jatuh tak jauh dari pohonnya ??????????
https://www.instagram.com/moehsenj_,moehsenj_,@isjpx_ ia ne sampai kami ngakaknya sampai tantrum liat wakilnya wkwwkwkwkwkwwkwkwkwkwk ??????????
