publishedAt,authorDisplayName,textDisplay,like_count,likeCount
2024-04-23T22:46:35Z,@mranggenmranghen9769,Semoga amanah ya bapak❤,0.0,
2024-04-23T16:28:37Z,@user-uu5qx4lo1n,Curang,0.0,
2024-04-22T13:14:02Z,@porwanti8152,Prabowo sombong😡,0.0,
2024-04-20T16:17:07Z,@endangsulastri9372,Saya berdoa supaya apa yg dikatakan Prabowo terjadi yaitu menghilangkan kemiskinan.,0.0,
2024-04-19T12:02:11Z,@HanilNi,"Awas awas hati hati kata jokowi, prabowo hati hati akan ada yg terjadi kena penyakit \",0.0,
2024-04-15T20:13:57Z,@user-nv4vv9lj3m,"Presiden Indonesia maju Indonesia kuat 
Prabowo Gibran
 Tolong  pak aplikasi yang merusak mental anak2 bangsa 
Di hapus dari Indonesia karena aplikasi tersebut sangat  merusak generasi bangsa contoh judi online dan porno Grafi. Agar Indonesia aman dan sejahtera.",1.0,
2024-04-15T18:06:08Z,@user-sq1vr9kr6s,Saya berdoa jika pak prabowo jadi presiden semoga bansos di pedesaan lancar dan tidak ada kecurangan sepihak dari tingkat rt sampai kepala desa tertentu ,0.0,
2024-04-15T10:27:01Z,@user-dg5ek6ek5x,Probowo lebih baik daripada Anies. Tidak sia sia perjuangan saya selama ini.,0.0,
2024-04-14T14:32:30Z,@Altaf-yc5fr,Pk prabowo persiden ri bukan anis bayak omong,0.0,
2024-04-12T11:22:24Z,@ysdorpheus,Selamt presidenku,0.0,
2024-04-10T01:01:15Z,@kigedeagungpamungkas9034,Pak prabowo president RI,0.0,
2024-04-07T10:59:37Z,@MuhammadAinul-el9yr,Menyala bapak ku prabowo gibran all in.,0.0,
2024-04-06T16:43:18Z,@user-pu9yt4wq5x,Pak Prabowo sebentar lagi menjadi presiden Indonesia ini tanah subur dan banyak tambang  selalu amanah jadikan rakyat Indonesia makmur semua jangan kalah dengan negara lain kuat dan menjaga negeri ini aman panjang umur sehat selalu ✊✊,0.0,
2024-04-06T01:21:48Z,@user-ke3qu5wb6l,pasti donk,0.0,
2024-04-01T21:41:13Z,@alexleu9118,"Gua ikuti kata GUSDUR, ",0.0,
2024-04-01T19:35:31Z,@FAUDI150,genggam janji mu pak jangan sampai masyarakat kecewa,0.0,
2024-03-31T18:30:36Z,@anggisatrio2485,Presiden aja lama gmn calegnya😂,0.0,
2024-03-31T07:59:09Z,@Erikamanda600,Alhamdulillah! Makan tu orang2 yang ngeremehin🗿,3.0,
2024-03-30T12:01:05Z,@RikardoMage,Amin,0.0,
